desc,id,label,syn,syn_typ,syn_typ_id
"A double negative post-natal thymocyte that has a T cell receptor consisting of a gamma chain containing a Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-positive.",CL:0002408,immature Vgamma2-negative thymocyte,immature Vgamma2-negative thymocyte,label,5
"A Vgamma1.1-positive, Vdelta6.3-positive thymocyte that is CD24-positive.",CL:0002415,"immature Vgamma1.1-positive, Vdelta6.3-positive thymocyte","immature Vgamma1.1-positive, Vdelta6.3-positive thymocyte",label,5
"A Vgamma1.1-positive, Vdelta6.3-negative thymocyte that is CD24-positive.",CL:0002414,"immature Vgamma1.1-positive, Vdelta6.3-negative thymocyte","immature Vgamma1.1-positive, Vdelta6.3-negative thymocyte",label,5
"A Vgamma1.1-positive, Vdelta6.3-negative thymocyte that is CD24-positive.",CL:0002414,"immature Vgamma1.1-positive, Vdelta6.3-negative thymocyte","immature Vg1.1-positive, Vd6.3-negative T cell",related,2
"A Vgamma1.1-positive, Vdelta6.3-positive thymocyte that is CD24-positive.",CL:0002415,"immature Vgamma1.1-positive, Vdelta6.3-positive thymocyte",immature Vg1.1+Vd6.3+ T cell,exact,4
An immature T cell located in the thymus.,CL:0000893,thymocyte,immature T-lymphocyte,broad,1
A T cell that has not completed T cell selection.,CL:0002420,immature T cell,immature T-cell,exact,4
An immature T cell located in the thymus.,CL:0000893,thymocyte,immature T lymphocyte,broad,1
A T cell that has not completed T cell selection.,CL:0002420,immature T cell,immature T cell,label,5
An immature alpha-beta T-cell that express Egr2. These cells give rise to T cells expressing NK markers.,CL:0000914,immature NK T cell,immature NKT cell,exact,4
An immature alpha-beta T-cell that express Egr2. These cells give rise to T cells expressing NK markers.,CL:0000914,immature NK T cell,immature NK T-lymphocyte,exact,4
An immature alpha-beta T-cell that express Egr2. These cells give rise to T cells expressing NK markers.,CL:0000914,immature NK T cell,immature NK T-cell,exact,4
An immature alpha-beta T-cell that express Egr2. These cells give rise to T cells expressing NK markers.,CL:0000914,immature NK T cell,immature NK T lymphocyte,exact,4
"A CD24-low, CD44-positive, DX5-high, NK1.1-negative NK T cell.",CL:0002042,immature NK T cell stage IV,immature NK T cell stage IV,label,5
"A CD24-low, CD44-positive, DX5-low, NK1.1-negative NK T cell.",CL:0002041,immature NK T cell stage III,immature NK T cell stage III,label,5
"A CD24-low, CD44-negative, NK1.1-negative NK T cell.",CL:0002040,immature NK T cell stage II,immature NK T cell stage II,label,5
"A CD24-high, CD4-low, CD8-low, CD44-negative, NK1.1-negative NK T cell.",CL:0002039,immature NK T cell stage I,immature NK T cell stage I,label,5
An immature alpha-beta T-cell that express Egr2. These cells give rise to T cells expressing NK markers.,CL:0000914,immature NK T cell,immature NK T cell,label,5
"A double negative thymocyte that has a T cell receptor consisting of a gamma chain that has as part a Vgamma3 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-positive. This cell-type is found in the fetal thymus with highest numbers occurring at E17-E18.",CL:0002218,immature dendritic epithelial T cell precursor,immature DETC precursor,exact,4
"A double negative thymocyte that has a T cell receptor consisting of a gamma chain that has as part a Vgamma3 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-positive. This cell-type is found in the fetal thymus with highest numbers occurring at E17-E18.",CL:0002218,immature dendritic epithelial T cell precursor,immature DEC precursor,exact,4
"CD4-positive alpha-beta T cell with the phenotype CD25-positive, CTLA-4-positive, and FoxP3-positive with regulatory function.",CL:0000902,induced T-regulatory cell,iTreg,exact,4
A effector T cell that provides help in the form of secreted cytokines to other immune cells.,CL:0000912,helper T cell,helper T-lymphocyte,exact,4
A effector T cell that provides help in the form of secreted cytokines to other immune cells.,CL:0000912,helper T cell,helper T-cell,exact,4
A effector T cell that provides help in the form of secreted cytokines to other immune cells.,CL:0000912,helper T cell,helper T lymphocyte,exact,4
"CD4-positive, alpha-beta T cell that produces IL-22.",CL:0001042,T-helper 22 cell,helper T cell type 22,exact,4
"A CD4-positive, alpha-beta T cell that has the phenotype GATA-3-positive, CXCR3-negative, CCR6-negative, and is capable of producing interleukin-4.",CL:0000546,T-helper 2 cell,helper T cell type 2,exact,4
"CD4-positive, alpha-beta T cell with the phenotype RORgamma-t-positive, CXCR3-negative, CCR6-positive, and capable of producing IL-17.",CL:0000899,T-helper 17 cell,helper T cell type 17,exact,4
"A CD4-positive, alpha-beta T cell that has the phenotype T-bet-positive, CXCR3-positive, CCR6-negative, and is capable of producing interferon-gamma.",CL:0000545,T-helper 1 cell,helper T cell type 1,exact,4
A effector T cell that provides help in the form of secreted cytokines to other immune cells.,CL:0000912,helper T cell,helper T cell,label,5
A circulating gamma-delta T cell that is CD27-positive and capable of producing IFN-gamma.,CL:0002124,CD27-positive gamma-delta T cell,gd27-positive,exact,4
"A post-natal thymocyte expressing components of the gamma-delta T cell receptor. This cell type is always double-negative (i.e. CD4-negative, CD8-negative).",CL:0002405,gamma-delta thymocyte,gd thymocyte,exact,4
A T cell that expresses a gamma-delta T cell receptor complex.,CL:0000798,gamma-delta T cell,gd T cell,related,2
A circulating gamma-delta T cell that is CD27-positive and capable of producing IFN-gamma.,CL:0002124,CD27-positive gamma-delta T cell,gammadelta27-positive,exact,4
